,,,Guns By Date,,
Case Number,Booked,Description,Brand/Make Brand/Model,Serial #,
,Date,,,,
2016-,5/24/2016,JDB3 PPK handgun 9mm,Walther,9mm,FAM2725
26642,,,,,
2016-,5/24/2016,"JDB2 AR 15 type rifle, serial",Hardened Arms,AR15,JTD1169
26642,,#JTD11699,,,
2016-,5/26/2016,CLL - 1 12 ga Mossberg shotgun,Mossberg,500,Unk
28222,,,,,
2016-,6/3/2016,"JKC 6 Savage Arms .22 rifle,",,Stevens,306178
28319,,Stevens model s.n. 0306178;,,,
,,rcvd in storage unit E17,,,
2016-,5/27/2016,"MMM-1 Hi-Point Firearms,",,JHP,X429882
28410,,Haskell MFG,,,
2016-,6/5/2016,BCB-11 Mossberg 500 Pistol,,MOSSBERG 500,U161635
29002,,"Grip, Laser sight, Red Dot",,,
2016-,6/3/2016,MWH-7 KIMBER .45 CAL,KIMBER,ULTRA,KU28039
29388,,PISTOL AND 1 MAGAZINE,,,
2016-,6/15/2016,JHH-4 Smith and Wesson,Smith & Wesson,Bodyguard 380,EBB6266
29809,,Bodyguard 380. Registered to,,,
,,"driver, who possess a CPL",,,
2016-,6/3/2016,CPH-1 Davis Industries .32 Auto,,D-32,139558
29850,,Derringer S/N 139558,,,
2016-,6/5/2016,Taurus .40 cal semi automatic,Taurus,DA/SA D8,SFU8231
30117,,pistol,,,
2016-,6/10/2016,KSC-2: Smith & Wesson M&P,Smith & Wesson,M&P Shield,HKJ9579
31004,,Shield (9mm),,,
2016-,6/12/2016,BWJ-1 Rock Island 1911 .22,Rock Island,1911,TCM0206
31487,,caliber semi-auto pistol,,,
2016-,6/17/2016,DJK 02 One Glock Model 23 .40,,23,GZH595
32036,,caliber handgun with one,,,
,,magazine,,,
32219,,LE15 Cal 5.56 .223 BOOKED,,,
,,FOR DESTRUCTION,,,
2016-,6/21/2016,JAJ-6A Glock .45 SN:VLS205,Glock,21 Gen 4,VLS205
33018,,,,,
2016-,6/21/2016,JAJ-7A Glock 41 .45 cal,Glock,41 Gen 4,XYZ586
33018,,SN:XYZ586,,,
2016-,6/21/2016,JAJ-5A Walther .380 handgun,Walther,PPK/S-1,0646BAM
33018,,,,,
2016-,6/21/2016,JAJ-1 Walther PPK/S-1 .380,Walther,PPK/S-1,3279BAR
33018,,cal. SN: 3279BAR,,,
2016-,6/21/2016,JAJ-2 Glock 36 .45 cal pistol,,36,WAU688
33018,,,,,
2016-,6/21/2016,JAJ-10A Glock 21 Gen 4 .45 cal,Glock,21 Gen 4,WHM828
33018,,SN:WHM828,,,
2016-,6/21/2016,JAJ-13A A Glock 41 Gen 4 .45,Glock,41 Gen 4,XYZ668
33018,,cal. SN: XYZ668,,,
2016-,6/21/2016,JAJ-28A COLT AR-15 A 4,Colt,AR-15 A 4,CAR0048
33018,,SN:CAR004821,,,
2016-,6/21/2016,JAJ-17A Rock River Arms AR-,Rock River Arms,AR-15,UT11168
33018,,15 SN:UT111686,,,
2016-,6/21/2016,JAJ-29 Core 15 rifle .223 cal.,Core,15,GTOC04
33018,,SN:GTOC045747,,,
2016-,6/21/2016,JAJ-15 Colt AR-15 A4 rifle,Colt,AR-15 A4,CAR0061
33018,,SN:CAR006165,,,
2016-,6/21/2016,JAJ-3 CORE 15 .223 rifle,,15,GTOC05
33018,,SN:GTOC053121,,,
2016-,9/29/2016,ATM 4B: BB Gun taken apart into,,BB Gun,N/A
33341,,pieces,,,
2016-,7/6/2016,CLL-1 Pistol make FNH,FNH,FNS-9C,csu00034
36210,,,,,
2016-,7/13/2016,"PWD-1 ""SPRINGFIELD M1",SPRINGFIELD,M1 GRAND,3776986
36751,,"GRAND"" RIFLE S/N 3776986",,,
2016-,7/9/2016,JCT-2: Springfield XD,Springfield XD,XD,S312330
36751,,,,,
2016-,7/10/2016,JBB-1 SIG SAUER M400 5.56,SIG SAUER,M400,20C0181
